author,id,working_paper,file_downloads_last_month,file_downloads_3_months,file_downloads_12_months,file_downloads_total,abstract_views_last_month,abstract_views_3_months,abstract_views_12_months,abstract_views_total
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Emissions Trading and Intersectoral Dynamics: Absolute versus Relative Design Schemes,0,0,0,20,0,0,1,56
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Partial International Emission Trading,0,0,0,38,0,2,5,354
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Strictness of Environmental Policy and Investment in Abatement,0,0,0,63,0,0,0,172
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Sectoral and regional expansion of emissions trading,0,0,1,31,0,0,12,134
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Sectoral and Regional Expansion of Emissions Trading,0,0,0,9,0,0,8,54
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Samaritan vs rotten kid: Another look,0,0,0,44,0,0,2,154
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Samaritan vs rotten kid: Another look,0,0,0,47,0,0,2,147
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Privatization in a polluting industry in the presence of foreign competition,0,0,1,3,0,0,3,15
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Permit Trading and Credit Trading: A Comparison of Cap-Based and Rate-Based Emissions Trading under Perfect and Imperfect Competition,0,0,1,80,0,0,3,207
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,GOOD AND BAD EQUILIBRIA WITH THE INFORMAL SECTOR,0,0,1,156,1,1,6,799
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Strict environmental policy: An incentive for FDI,0,0,1,31,0,1,8,149
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Liberalizing Trade in Environmental Goods,0,0,0,106,0,1,6,346
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Liberalizing Trade in Environmental Goods,0,0,0,12,0,0,5,67
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Is Emission Intensity or Output U-shaped in the Strictness of Environmental Policy,0,0,2,24,0,0,7,72
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Group rewards and individual sanctions in environmental policy,0,0,0,32,0,0,7,333
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Group Rewards and Individual Sanctions in Environmental Policy,0,0,0,36,0,0,10,371
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Group Rewards and Individual Sanctions in Environmental Policy,0,0,0,0,0,1,8,22
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Environmental Regulation: An Incentive for Foreign Direct Investment,0,0,3,21,2,2,15,83
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Location Choice by Households and Polluting Firms: An Evolutionary Approach,0,0,1,4,0,0,3,19
Bouwe Dijkstra,https://logec.repec.org/RAS/pdi536.htm,Sellers' hedging incentives at EPA's emission trading auction,0,0,1,1,0,1,4,19
Brian D. Varian,https://logec.repec.org/RAS/pva838.htm,"British capital and merchandise exports, 1870-1913: the bilateral case of New Zealand",0,0,0,25,0,0,0,10
Brian D. Varian,https://logec.repec.org/RAS/pva838.htm,Anglo-American trade costs during the first era of globalization: the contribution of a bilateral tariff series,0,1,1,1,0,3,3,4
Brian D. Varian,https://logec.repec.org/RAS/pva838.htm,The economics of Edwardian imperial preference: what can New Zealand reveal?,0,1,1,44,1,5,9,51
Brian D. Varian,https://logec.repec.org/RAS/pva838.htm,The revealed comparative advantages of late-Victorian Britain,0,0,1,39,0,0,9,43
Brian D. Varian,https://logec.repec.org/RAS/pva838.htm,The revealed comparative advantages of late-Victorian Britain,0,0,2,71,0,0,6,51
Daniel P.J. Capocci,https://logec.repec.org/RAS/pca112.htm,An Analysis of Hedge Fund Performance,1,3,9,"2,824",1,10,33,"6,976"
Daniel P.J. Capocci,https://logec.repec.org/RAS/pca112.htm,Hedge Fund Performance and Persistence in Bull and Bear Markets,0,1,1,609,0,5,13,"1,209"
Diana-Mihaela Țîrcă (Diana-Mihaela Tirca),https://logec.repec.org/RAS/ppo184.htm,Competition and Human Capital on the Education Market,0,0,0,28,0,3,5,87
Elvira Takli,https://logec.repec.org/RAS/pta514.htm,Comparison of Simple Sum and Divisia Monetary Aggregates in GDP Forecasting: A Support Vector Machines Approach,0,0,0,49,0,2,7,193
Hidetoshi Yamaji,https://logec.repec.org/RAS/pya299.htm,Characteristic Development of Japanese Corporate Financial Behavior Affecting and Responding to the Changes in Accounting Standards,0,0,0,0,0,1,1,6
Hidetoshi Yamaji,https://logec.repec.org/RAS/pya299.htm,Cognitive Bias in the Laboratory Security Market -Differently Available Information and Equilibrium of Security Market-,0,0,0,0,0,0,4,110
Hidetoshi Yamaji,https://logec.repec.org/RAS/pya299.htm,A Lesson of International Accounting from Railroad Regulation in the United States in the Nineteenth Century,0,0,0,0,1,1,3,6
Inger Midtkandal,https://logec.repec.org/RAS/pmi683.htm,How Outward Looking is Smart Specialisation? Results from a survey on inter-regional collaboration in Smart Specialisation Strategies (RIS3),1,1,5,57,7,12,34,113
Inger Midtkandal,https://logec.repec.org/RAS/pmi683.htm,The S3 Platform Peer Review Methodology,0,1,2,11,2,3,14,68
Inger Midtkandal,https://logec.repec.org/RAS/pmi683.htm,A Policymakers Guide to Transnational Learning in Smart Specialisation,0,0,0,14,1,1,4,50
Inger Midtkandal,https://logec.repec.org/RAS/pmi683.htm,"Taking stock of S3 Peer Review Workshops, S3 Working Paper Series No. 07/2014",0,0,1,4,0,0,2,16
Inger Midtkandal,https://logec.repec.org/RAS/pmi683.htm,RIS3 Implementation and Policy Mixes. S3 Policy Brief Series n° 07/2014 – September 2014,0,0,1,11,0,0,4,49
Inger Midtkandal,https://logec.repec.org/RAS/pmi683.htm,Inter-regional Collaboration in Research and Innovation Strategies for Smart Specialisation (RIS3). S3 Working Paper Series no 6/2014,0,0,4,58,1,4,54,139
Naotoshi Tsukada,https://logec.repec.org/RAS/pts86.htm,Innovation Process in Japan: Findings from the RIETI Inventors Survey (Japanese),0,1,2,7,1,3,9,52
Naotoshi Tsukada,https://logec.repec.org/RAS/pts86.htm,"Spillovers and Risk of R&D Projects, and Targeting of Public R&D Support (Japanese)",0,0,0,13,0,0,2,54
Naotoshi Tsukada,https://logec.repec.org/RAS/pts86.htm,Standards as a Knowledge Source for R&D: A first look at their incidence and impacts based on the inventor survey and patent bibliographic data,0,0,1,38,0,2,6,106
Naotoshi Tsukada,https://logec.repec.org/RAS/pts86.htm,The structure and the evolution of essential patents for standards: Lessons from three IT standards,0,0,0,39,0,0,1,176
Paul Karehnke,https://logec.repec.org/RAS/pka1063.htm,On Portfolio Choice with Savoring and Disappointment,0,0,0,10,1,2,5,48
Paul Karehnke,https://logec.repec.org/RAS/pka1063.htm,Portfolio choice and asset pricing with endogenous beliefs and skewness preference,0,0,0,23,0,0,7,51
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Extended Yule-Walker Identification of Varma Models with Single- or Mixed-Frequency Data,0,0,1,5,1,1,8,30
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Analytic Derivatives for Estimation of Linear Dynamic Models,0,0,0,41,0,0,2,90
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Cointegration Analysis with Mixed-Frequency Data,0,1,3,274,0,2,10,650
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Estimated U.S. Manufacturing Production Capital and Technology Based on an Estimated Dynamic Economic Model,0,0,0,73,0,0,2,391
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Estimated U.S. Manufacturing Production Capital and Technology Based on an Estimated Dynamic Structural Economic Model,0,0,0,40,0,1,3,144
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Estimating A Multivariate Arma Model with Mixed-Frequency Data: An Application to Forecasting U.S. GNP at Monthly Intervals,1,2,37,113,4,14,93,260
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Extended Yule-Walker identification of Varma models with single- or mixed frequency data,0,0,3,32,0,0,12,48
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Forecasting Quarterly German GDP at Monthly Intervals Using Monthly IFO Business Conditions Data,0,0,2,687,1,4,31,"3,213"
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,"Necessary and Sufficient Restrictions for Existence of a Unique Fourth Moment of a Univariate GARCH(p,q) Process",0,0,0,123,0,1,5,365
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Real-Time State Space Method for Computing Smoothed Estimates of Future Revisions of U.S. Monthly Chained CPI,0,0,1,11,0,0,2,38
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Testing Substitution Bias of the Solow-Residual Measure of Total Factor Productivity Using CES-Class Production Functions,0,2,12,268,0,4,27,"1,006"
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,An Anticipative Feedback Solution for Infinite-Horizon Linear-Quadratic Dynamic Stackelberg Games,0,0,0,0,1,1,3,425
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,"Further Model-Based Estimates of U.S. Total Manufacturing Production Capital and Technology, 1949-2005",0,0,0,18,0,0,0,89
Peter A. Zadrozny,https://logec.repec.org/RAS/pza34.htm,Long-Run Expectations And Capacity,0,0,1,102,0,1,4,623
Ricardo Huaman,https://logec.repec.org/RAS/phu502.htm,La macroeconomí­a de una economí­a abierta en el corto plazo: el modelo Mundell-Fleming,4,27,74,289,9,48,146,713
Ricardo Huaman,https://logec.repec.org/RAS/phu502.htm,Dinero e inflación: el overshooting y el canal del tipo de cambio,1,3,10,62,1,3,17,173
Ricardo Huaman,https://logec.repec.org/RAS/phu502.htm,Crecimiento en una economía abierta: un marco de análisis para el Perú,0,0,4,49,1,2,9,219
Ricardo Huaman,https://logec.repec.org/RAS/phu502.htm,El estado actual de la teoría macroeconómica,0,2,4,71,0,4,10,234
Ricardo Huaman,https://logec.repec.org/RAS/phu502.htm,El modelo Mundell-Fleming: una versión intertemporal,1,5,19,117,3,16,52,408
Shreekar Pradhan,https://logec.repec.org/RAS/ppr392.htm,Environmental Policy Instrument Choice and International Trade,1,1,8,66,1,3,24,89
Shreekar Pradhan,https://logec.repec.org/RAS/ppr392.htm,"Emissions Leakage, Environmental Policy and Trade Frictions",0,1,3,44,1,5,13,64
Shreekar Pradhan,https://logec.repec.org/RAS/ppr392.htm,Sectoral and Economy-Wide Effects of Domestic Energy Price Reforms in Saudi Arabia,0,2,16,16,0,6,14,14
Shreekar Pradhan,https://logec.repec.org/RAS/ppr392.htm,GCC Energy System Overview – 2017,0,1,2,2,1,4,8,15
Shreekar Pradhan,https://logec.repec.org/RAS/ppr392.htm,Analyzing the Effects of Saudi Arabia’s Economic Reforms Using a Dynamic Stochastic General Equilibrium Model,0,0,9,9,4,11,26,26
Shreekar Pradhan,https://logec.repec.org/RAS/ppr392.htm,K-DSGE: A Dynamic Stochastic General Equilibrium Model for Saudi Arabia,0,2,27,27,4,10,32,32
Shreekar Pradhan,https://logec.repec.org/RAS/ppr392.htm,Environmental Policy Instruments and Uncertainties Under Free Trade and Capital Mobility,0,1,7,41,0,4,27,71
Tetyana Dubovyk,https://logec.repec.org/RAS/pdu258.htm,Macroeconomic Aspects of Italian Pension Reforms of 1990s,0,0,0,44,0,0,4,64
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Ownership Dynamics and Firm Performance in an Emerging Economy: A Meta-Analysis of the Russian Literature,0,1,1,43,3,7,19,61
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Firm Performance and Managerial Turnover: The Case of Ukraine,0,0,0,43,0,2,7,168
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Labor markets and labor market institutions in transition economies,0,1,3,39,1,2,11,87
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Investor Protection and Share Prices: Evidence from Statutory Rules Governing Variations of Shareholders' Class Rights in Russia,0,0,0,39,0,0,6,209
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,On Classification of Russian Journals in Economics,0,0,0,2,0,1,2,10
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,CEO and Board Characteristics as Determinants of Private Benefits of Control: Evidence from the Russian Stock Exchange,0,1,1,70,0,1,6,319
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Can State Language Policies Distort Students' Demand for Higher Education?,0,0,0,42,0,0,2,199
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Minimum wages and labor market outcomes: evidence from the emerging economy of Russia,1,1,3,32,3,6,16,146
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Investor protection and share prices: Evidence from statutory rules governing variations of shareholders’ class rights in Russia,0,0,0,27,0,0,10,131
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Determinants of Poverty during Transition: Household Survey Evidence from Ukraine,0,0,0,39,0,0,6,214
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Labor Market Institutions and Informality in Transition and Latin American Countries,1,4,9,143,2,5,16,233
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Ownership Dynamics and Firm Performance in an Emerging Economy: A Meta-Analysis of the Russian Literature,0,0,1,71,2,6,29,129
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Determinants of Poverty during Transition: Household Survey Evidence from Ukraine,0,0,0,76,1,1,7,365
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,How Important Are Labor Market Institutions for Labor Market Performance in Transition Countries?,0,0,1,87,0,1,7,220
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Can State Language Policies Distort Students’ Demand for Education?,0,0,0,10,0,0,3,63
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Ownership Structure and Firm Performance in Russia: The Case of Blue Chips of the Stock Market,2,2,6,456,4,11,54,"1,425"
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,"Firm Size, Wages and Unobserved Skills: Evidence from Dual Job Holdings in the UK",0,0,0,66,0,1,3,319
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,"Owners, Boards, Managers and the Private Benefits of Control: A Study of Dual Class Stock Firms in an Emerging Market",0,0,0,17,0,2,4,69
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Human Capital Externalities: Evidence from the Transition Economy of Russia,0,0,1,144,0,0,6,583
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Performance Effects of Appointing Other Firms' Executive Directors to Corporate Boards: An Analysis of UK Firms,0,0,0,33,1,1,15,186
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Convergence in Institutions and Market Outcomes: Cross-Country and Time-Series Evidence from the BEEPS Surveys in Transition Economies,0,1,2,97,2,10,22,287
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Labor market institutions and labor market performance: what can we learn from transition countries?,0,1,4,145,2,4,10,257
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,"Minimum Wages, Unemployment and Informality: Evidence from Panel Data on Russian Regions",0,0,2,102,6,10,20,220
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Investor Protection and the Value of Shares: Evidence from Statutory Rules Governing Variations of Shareholders' Class Rights in Russia,0,1,1,56,0,1,10,190
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Determinants Of Poverty During Transition: Household Survey Evidence From Ukraine,0,0,1,47,0,0,9,285
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Can State Language Policies Distort Students' Demand for Higher Education?,0,0,0,34,0,0,6,166
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Convergence in institutions and market outcomes: Cross-country and time-series evidence from the BEEPS surveys in transition economies,1,1,1,71,1,5,14,239
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Labor Market Institutions and Informality in Transition and Latin American Countries,0,1,2,126,1,2,6,123
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Ownership Structure and Firm Performance in Russia: The Case of Blue Chips of the Stock Market,2,2,3,58,3,6,31,291
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Convergence in Institutions and Market Outcomes: Cross-Country and Time-Series Evidence from the BEEPS Surveys in Transition Economies,0,0,0,27,0,7,18,148
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Labor Markets and Labor Market Institutions in Transition Economies,0,0,2,204,0,0,7,336
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Firm Performance and Managerial Turnover: The Case of Ukraine,0,1,2,51,0,2,8,235
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Convergence in institutions and market outcomes: cross-country and time-series evidence from the business environment and enterprise performance surveys in transition economies,0,0,2,124,0,4,27,882
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Корпоративные конфликты и политика фирм в области занятости и заработной платы,0,0,0,12,1,1,7,127
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Dual Class Stock in Russia: What Explains the Price Differential between Common and Preferred Shares?,0,0,1,162,0,2,5,584
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Determinants of Poverty during Transition: Household Survey Evidence from Ukraine,0,0,1,41,0,2,9,196
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Determinants of Poverty during Transition: Household Survey Evidence from Ukraine,0,2,2,104,2,4,10,295
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,The Wage and Non-wage Costs of Displacement: Evidence from Russia,0,0,0,33,1,1,2,111
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,"Государственные пакеты акций в российских компаниях: происхождение, типы и влияние на результаты деятельности",0,0,0,13,0,0,2,108
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,"Evolution of Employment Protection Legislation in the USSR, CIS and Baltic States, 1985-2009",0,1,1,70,2,4,7,146
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,"Federal state shareholdings in Russian companies: Origin, forms and consequences for enterprise perfomance",0,0,0,167,0,1,7,714
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,The Ukrainian Longitudinal Monitoring Survey: Towards a Better Understanding of Labor Markets in Transition,0,2,3,49,0,2,8,196
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Entrepreneurs' gender and financial constraints: evidence from international data,0,0,2,230,3,6,26,910
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,О российской экономической науке сквозь призму публикаций российских ученых в отечественных и зарубежных журналах за 2000-2009 гг,0,0,0,63,1,7,14,165
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,The Costs of Job Loss in Russia,0,0,0,33,1,1,10,123
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,The Return on Human Capital: the Case of UK Non-executive Directors that are also Executive Directors,0,0,0,28,0,0,0,155
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Корпоративное управление и эффективность приватизированных предприятий в России,0,0,0,14,0,0,0,52
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,К вопросу о классификации российских журналов по экономике и смежным дисциплинам,0,0,0,36,0,0,1,74
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,The Structure of Corporate Boards and Private Benefits of Control: Evidence from the Russian Stock Exchange,0,0,0,2,0,0,4,21
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Worker Displacement in Russia and Ukraine: A Comparative Analysis Using Micro Data,0,0,0,70,1,2,8,223
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,"Federal state shareholdings in Russian companies: Origin, forms and consequences for enterprise performance",0,1,1,30,0,2,5,136
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Youth Unemployment and Vocational Training,1,6,27,303,14,36,111,"1,174"
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,The Gender Composition of Corporate Boards and Firm Performance: Evidence from Russia,0,1,4,36,2,7,28,52
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Performance effects of appointing other firms' executive directors,0,0,0,28,0,0,8,150
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Обновление директорского корпуса на российских приватизированных предприятиях,0,0,0,5,0,0,1,47
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,The puzzle of dual class stock in Russia: Explaining the price differential between common and preferred shares,0,1,1,18,0,2,5,100
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Determinants of Poverty during Transition: Household Survey Evidence from Ukraine,0,0,0,73,0,0,7,315
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,The Wage and Non-wage Costs of Displacement: Evidence from Russia,0,0,0,23,0,0,9,132
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,The Effect of Doubling the Minimum Wage on Employment: Evidence from Russia,0,0,1,42,0,2,7,111
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Unsafe Sex in the City: Risk Pricing in the London Area,1,1,2,9,3,4,28,77
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,The Puzzle of Dual Class Stock in Russia. Explaining the Price Differential between Common and Preferred Shares,1,1,1,210,1,4,11,734
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Unsafe Sex in the City: Risk Pricing in the London Area,0,0,2,8,6,14,37,86
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Entrepreneurs' Gender and Financial Constraints: Evidence from International Data,1,2,3,314,3,6,22,899
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Economic science in Russia through the lens of publications of Russian economists in national and international journals over 2000-2009,0,0,1,2,0,0,6,15
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,"Boards of Directors in Russian Publicly Traded Companies in 1998-2014: Structure, Dynamics and Performance Effects",0,0,0,21,1,2,11,38
Александр Муравьев (Alexander Muravyev),https://logec.repec.org/RAS/pmu68.htm,Poverty during transition: Household survey evidence from Ukraine,0,0,0,0,0,1,8,63
Тодор Ялъмов (Todor Yalamov),https://logec.repec.org/RAS/pya46.htm,Banks-Firms Nexus under the Currency Board: Empirical Evidence from Bulgaria,0,0,0,0,1,1,5,22
Тодор Ялъмов (Todor Yalamov),https://logec.repec.org/RAS/pya46.htm,Banks-Firms Nexus under the Currency Board: Empirical Evidence from Bulgaria,0,0,0,0,0,0,4,19
Тодор Ялъмов (Todor Yalamov),https://logec.repec.org/RAS/pya46.htm,Banks-Firms Nexus under the Currency Board: Empirical Evidence from Bulgaria,0,0,1,128,0,0,9,561
